date,Year,event_id,best_of,system
2019-10-27,2019,4990,3,123412
2019-10-27,2019,4783,3,123412
2019-10-26,2019,4629,3,123412
2019-10-25,2019,4932,3,123412
2019-10-25,2019,4944,3,123412
2019-10-25,2019,4492,3,123412
2019-10-24,2019,4944,3,123412
2019-10-23,2019,4924,3,123412
2019-10-20,2019,4093,3,123412
2019-10-19,2019,4970,3,123412
2019-10-19,2019,4699,3,123421
2019-10-18,2019,4699,3,123421
2019-10-16,2019,4698,3,123412
2019-10-16,2019,4943,3,123412
2019-10-16,2019,4919,3,123412
2019-10-14,2019,4698,3,123412
2019-10-14,2019,4923,3,123412
2019-10-13,2019,4694,3,123412
2019-10-13,2019,4699,3,123421
2019-10-13,2019,4966,3,123412
2019-10-12,2019,4940,3,123412
2019-10-12,2019,4940,3,123412
2019-10-11,2019,4698,3,123421
2019-10-11,2019,4694,3,123412
2019-10-11,2019,4940,3,123412
2019-10-10,2019,4699,3,123421
2019-10-08,2019,4862,3,123412
2019-10-07,2019,4862,3,123412
2019-10-07,2019,4784,3,123412
2019-10-06,2019,4953,3,123412
2019-10-06,2019,4953,3,123412
2019-10-05,2019,4553,3,123412
2019-10-05,2019,4931,3,123412
2019-10-04,2019,4954,3,123412
2019-10-04,2019,4940,3,123412
2019-10-03,2019,4553,3,123412
2019-10-03,2019,4931,3,123412
2019-10-03,2019,4553,3,123412
2019-10-03,2019,4862,3,123412
2019-10-02,2019,4940,3,123412
2019-10-02,2019,4940,3,123412
2019-10-02,2019,4941,3,123412
2019-10-01,2019,4931,3,123412
2019-10-01,2019,4918,3,123412
2019-10-01,2019,4492,3,123412
2019-09-30,2019,4930,3,123412
2019-09-29,2019,4931,3,123412
2019-09-27,2019,4930,3,123412
2019-09-27,2019,4931,3,123412
2019-09-26,2019,4862,3,123412
2019-09-26,2019,4930,3,123412
2019-09-26,2019,4597,3,123412
2019-09-26,2019,4597,3,123412
2019-09-25,2019,4826,3,123412
2019-09-24,2019,4826,3,123412
2019-09-24,2019,4826,3,123412
2019-09-24,2019,4909,3,123412
2019-09-24,2019,4907,3,123412
2019-09-23,2019,4909,3,123412
2019-09-22,2019,4491,3,123421
2019-09-22,2019,4900,3,123412
2019-09-22,2019,4906,3,123412
2019-09-22,2019,4913,3,123412
2019-09-22,2019,4828,3,123412
2019-09-22,2019,4862,3,123412
2019-09-22,2019,4913,3,123412
2019-09-21,2019,4897,3,123412
2019-09-20,2019,4832,3,123412
2019-09-20,2019,4909,3,123412
2019-09-18,2019,4827,3,123412
2019-09-17,2019,4838,3,123412
2019-09-17,2019,4832,3,123412
2019-09-16,2019,4826,3,123412
2019-09-16,2019,4827,3,123412
2019-09-16,2019,4891,3,123412
2019-09-14,2019,4829,3,123412
2019-09-14,2019,4829,3,123412
2019-09-14,2019,4829,3,123412
2019-09-14,2019,4829,3,123412
2019-09-14,2019,4829,3,123412
2019-09-14,2019,4686,3,123412
2019-09-13,2019,4829,3,123412
2019-09-13,2019,4829,3,123412
2019-09-13,2019,4829,3,123412
2019-09-12,2019,4829,3,123412
2019-09-12,2019,4822,3,123412
2019-09-12,2019,4822,3,123412
2019-09-12,2019,4822,3,123412
2019-09-11,2019,4822,3,123412
2019-09-11,2019,4847,3,123412
2019-09-11,2019,4822,3,123412
2019-09-08,2019,4844,3,123412
2019-09-08,2019,4844,3,123412
2019-09-07,2019,4874,3,121234
2019-09-06,2019,4851,3,123412
2019-09-05,2019,4770,3,123412
2019-08-31,2019,4791,3,123412
2019-08-26,2019,4450,3,123421
2019-08-25,2019,4825,3,123412
2019-08-24,2019,4450,3,123421
2019-08-22,2019,4605,3,123412
2019-08-21,2019,4760,3,123412
2019-08-20,2019,4760,3,123412
2019-08-20,2019,4807,3,123412
2019-08-18,2019,4763,3,123412
2019-08-17,2019,4760,3,123412
2019-08-16,2019,4808,3,123412
2019-08-13,2019,4760,3,123412
2019-08-12,2019,4726,3,123412
2019-08-11,2019,4719,3,123412
2019-08-11,2019,4764,3,123412
2019-08-10,2019,4711,3,121234
2019-08-10,2019,4764,3,123412
2019-08-10,2019,4794,3,123412
2019-08-08,2019,4793,3,123412
2019-08-08,2019,4760,3,123412
2019-08-07,2019,4760,3,123412
2019-08-07,2019,4741,3,123412
2019-08-06,2019,4760,3,123412
2019-08-06,2019,4773,3,123412
2019-08-05,2019,4778,3,123412
2019-08-04,2019,4761,3,123412
2019-08-04,2019,4778,3,123412
2019-08-03,2019,4707,3,121234
2019-08-03,2019,4715,3,121234
2019-08-01,2019,4768,3,123412
2019-07-29,2019,4449,3,123421
2019-07-28,2019,4690,3,123412
2019-07-28,2019,4769,3,123412
2019-07-28,2019,4769,3,123412
2019-07-26,2019,4448,3,123421
2019-07-25,2019,4447,3,123421
2019-07-25,2019,4448,3,123421
2019-07-25,2019,4724,3,123412
2019-07-24,2019,4448,3,123421
2019-07-24,2019,4448,3,123421
2019-07-22,2019,4758,3,123412
2019-07-22,2019,4735,3,123412
2019-07-20,2019,4751,3,123412
2019-07-20,2019,4735,3,123412
2019-07-20,2019,4734,3,123412
2019-07-19,2019,4574,3,123412
2019-07-19,2019,4734,3,123412
2019-07-19,2019,4709,3,121234
2019-07-18,2019,4723,3,123412
2019-07-18,2019,4741,3,123412
2019-07-18,2019,4732,3,123412
2019-07-18,2019,4574,3,123412
2019-07-18,2019,4445,3,123421
2019-07-18,2019,4574,3,123412
2019-07-16,2019,4741,3,123412
2019-07-15,2019,4605,3,123412
2019-07-15,2019,4605,3,123412
2019-07-14,2019,4746,3,123412
2019-07-14,2019,4733,3,123412
2019-07-13,2019,4464,3,123412
2019-07-12,2019,4732,3,123412
2019-07-12,2019,4732,3,123412
2019-07-12,2019,4692,3,123412
2019-07-11,2019,4732,3,123412
2019-07-11,2019,4741,3,123412
2019-07-11,2019,4684,3,123412
2019-07-10,2019,4741,3,123412
2019-07-10,2019,4605,3,123412
2019-07-10,2019,4733,3,123412
2019-07-09,2019,4741,3,123412
2019-07-08,2019,4684,3,123412
2019-07-07,2019,4684,3,123412
2019-07-04,2019,4281,3,123412
2019-07-03,2019,4281,3,123412
2019-07-03,2019,4281,3,123412
2019-07-02,2019,4643,3,123412
2019-06-30,2019,4684,3,123412
2019-06-30,2019,4705,3,123412
2019-06-30,2019,4703,3,123412
2019-06-29,2019,4626,3,123412
2019-06-29,2019,4684,3,123412
2019-06-28,2019,4667,3,123412
2019-06-28,2019,4633,3,123412
2019-06-28,2019,4623,3,123412
2019-06-27,2019,4605,3,123412
2019-06-27,2019,4667,3,123412
2019-06-27,2019,4633,3,123412
2019-06-26,2019,4684,3,123412
2019-06-25,2019,4626,3,123412
2019-06-25,2019,4463,3,123412
2019-06-23,2019,4559,3,123412
2019-06-22,2019,4502,3,123412
2019-06-22,2019,4659,3,123412
2019-06-22,2019,4490,3,123412
2019-06-21,2019,4502,3,123412
2019-06-21,2019,4605,3,123412
2019-06-21,2019,4684,3,123412
2019-06-21,2019,4490,3,123412
2019-06-20,2019,4502,3,123412
2019-06-20,2019,4688,3,123412
2019-06-20,2019,4501,3,123412
2019-06-19,2019,4643,3,123412
2019-06-19,2019,4501,3,123412
2019-06-19,2019,4670,3,123412
2019-06-18,2019,4651,1,123412
2019-06-17,2019,4645,3,123412
2019-06-17,2019,4645,3,123412
