date,Year,Month,Day,team_1,team_2,inverted_teams,match_id,event_id,best_of,system,t1_removed_1,t1_removed_2,t1_removed_3,t2_removed_1,t2_removed_2,t2_removed_3,t1_picked_1,t2_picked_1,left_over
2016-12-29,2016,12,29,EPG,RuSh3D,1,2307281,2629,3,123412,3,7,0,6,1,0,8,5,2
2016-12-28,2016,12,28,Quantum Bellator Fire,EPG,0,2307280,2629,3,123412,7,1,0,8,3,0,2,5,6
2016-12-28,2016,12,28,EPG,Tengri,1,2307279,2629,3,123412,1,7,0,6,2,0,3,8,5
2016-12-28,2016,12,28,RuSh3D,Quantum Bellator Fire,1,2307278,2629,3,123412,6,8,0,7,1,0,3,2,5
2016-12-27,2016,12,27,EPG,1337,0,2307277,2629,3,123412,8,1,0,2,7,0,6,3,5
2016-12-27,2016,12,27,zARLANS,Tengri,0,2307276,2629,3,123412,6,5,0,3,2,0,1,7,8
2016-12-27,2016,12,27,Wings.V,Master Grade,0,2307274,2631,3,123412,7,6,0,3,5,0,8,1,2
2016-12-27,2016,12,27,Tengri,RuSh3D,1,2307275,2629,3,123412,3,6,0,1,8,0,5,7,2
2016-12-26,2016,12,26,Quantum Bellator Fire,1337,1,2307273,2629,3,123412,7,1,0,2,6,0,5,8,3
2016-12-26,2016,12,26,EPG,Tengri,0,2307272,2629,3,123412,1,8,0,6,3,0,7,5,2
2016-12-26,2016,12,26,zARLANS,Quantum Bellator Fire,1,2307271,2629,3,123412,6,8,0,1,7,0,5,2,3
2016-12-25,2016,12,25,TYLOO,m0nster,1,2307270,2632,3,121234,6,8,0,5,7,0,2,3,1
2016-12-22,2016,12,22,EPG,Quantum Bellator Fire,1,2307245,2629,3,123412,8,1,0,7,6,0,2,3,5
2016-12-21,2016,12,21,iNation,Outlaws,1,2307253,2630,1,121212,7,2,8,3,6,5,0,0,1
2016-12-21,2016,12,21,Outlaws,Vexed,1,2307254,2630,1,121212,3,5,1,8,7,6,0,0,2
2016-12-18,2016,12,18,Tricked,Rogue,0,2307236,2623,3,123412,1,5,0,6,3,0,2,8,7
2016-12-18,2016,12,18,fnatic Academy,MVP Project,0,2307228,2613,3,123412,7,6,0,1,3,0,5,8,2
2016-12-18,2016,12,18,Tricked,Fragsters,1,2307235,2623,3,123412,1,8,0,2,7,0,6,3,5
2016-12-18,2016,12,18,Singularity,Rogue,1,2307234,2623,3,123412,8,2,0,3,1,0,5,7,6
