date,Year,event_id,best_of,system
2018-01-13,2018,3497,3,123412
2018-01-09,2018,3356,3,121234
2018-01-08,2018,3360,3,123412
2018-01-05,2018,3490,3,123412
2017-12-28,2017,3421,3,123412
2017-12-27,2017,3423,3,123412
2017-12-26,2017,3456,3,123412
2017-12-23,2017,3383,3,123412
2017-12-22,2017,3421,3,123412
2017-12-21,2017,3465,3,123412
2017-12-21,2017,3458,3,123412
2017-12-20,2017,3461,3,123412
2017-12-19,2017,3449,3,123412
2017-12-19,2017,3421,3,123412
2017-12-17,2017,3393,3,123412
2017-12-17,2017,3421,3,123412
2017-12-15,2017,3318,3,123412
2017-12-14,2017,3317,3,123412
2017-12-14,2017,3333,3,123412
2017-12-13,2017,3421,3,123412
2017-12-13,2017,3289,3,123412
2017-12-13,2017,3290,3,123412
2017-12-13,2017,3421,3,123412
2017-12-12,2017,3382,3,123412
2017-12-12,2017,3289,3,123412
2017-12-11,2017,3320,3,123412
2017-12-11,2017,3317,3,123412
2017-12-10,2017,3384,3,123412
2017-12-09,2017,3072,3,123412
2017-12-08,2017,3072,3,123412
2017-12-04,2017,3318,3,123412
2017-12-03,2017,2574,3,123412
2017-12-02,2017,3394,3,123412
2017-12-02,2017,3396,3,122143
2017-12-02,2017,3381,3,121234
2017-12-01,2017,3377,3,123412
2017-11-23,2017,3367,3,123412
2017-11-22,2017,3049,3,123412
2017-11-21,2017,3363,3,123412
2017-11-21,2017,3049,3,123412
2017-11-17,2017,3166,3,123412
2017-11-15,2017,3122,3,123412
2017-11-14,2017,3047,3,123412
2017-11-13,2017,3228,3,123412
2017-11-12,2017,3272,3,123412
2017-11-12,2017,3272,3,123412
2017-11-11,2017,3069,3,123412
2017-11-10,2017,3327,3,123412
2017-11-10,2017,3343,3,123412
2017-11-09,2017,3325,3,123412
2017-11-07,2017,3196,3,121234
2017-11-05,2017,3251,3,123421
2017-11-05,2017,3251,3,123421
2017-11-05,2017,3252,3,123421
2017-11-05,2017,3324,3,123412
2017-11-04,2017,2895,3,123412
2017-11-04,2017,3190,3,123412
2017-11-04,2017,3252,3,123421
2017-11-04,2017,3252,3,123421
2017-11-03,2017,3190,3,123412
2017-11-03,2017,3252,3,123421
2017-11-02,2017,3190,3,123412
2017-11-02,2017,3196,3,121234
2017-11-01,2017,3293,3,123412
2017-11-01,2017,3122,3,123412
2017-10-26,2017,3249,3,123412
2017-10-26,2017,3305,3,123412
2017-10-23,2017,3284,3,123412
2017-10-23,2017,3291,3,123412
2017-10-22,2017,2921,3,123421
2017-10-22,2017,3297,3,123412
2017-10-22,2017,2573,3,123412
2017-10-22,2017,3306,3,123412
2017-10-22,2017,2573,3,123412
2017-10-21,2017,2921,3,123421
2017-10-19,2017,3291,3,123412
2017-10-19,2017,3285,3,123412
2017-10-19,2017,3014,3,123412
2017-10-18,2017,3291,3,123412
2017-10-18,2017,3261,3,123412
2017-10-17,2017,3196,3,121234
2017-10-15,2017,3183,3,121234
2017-10-15,2017,3256,3,123421
2017-10-15,2017,3258,3,123421
2017-10-14,2017,3212,3,123412
2017-10-14,2017,3183,3,121234
2017-10-14,2017,3254,3,123421
2017-10-13,2017,3212,3,123412
2017-10-11,2017,3157,3,123412
2017-10-10,2017,3207,3,123412
2017-10-10,2017,3253,3,123421
2017-10-10,2017,3208,3,123412
2017-10-10,2017,3016,3,123421
2017-10-08,2017,3269,3,123412
2017-10-07,2017,3229,3,123412
2017-10-07,2017,3101,3,123412
2017-10-07,2017,3101,3,123412
2017-10-07,2017,3101,3,123412
2017-10-07,2017,2935,3,123412
2017-10-06,2017,3237,3,123412
2017-10-05,2017,3237,3,123412
2017-10-04,2017,3195,3,123412
2017-10-03,2017,3139,3,123412
2017-10-02,2017,3137,3,123412
2017-09-28,2017,3122,3,123412
2017-09-28,2017,3213,3,123412
2017-09-28,2017,3151,3,123412
2017-09-28,2017,3014,3,123412
2017-09-26,2017,3122,3,123412
2017-09-25,2017,3200,3,123412
2017-09-25,2017,3200,3,123412
2017-09-24,2017,3200,3,123412
2017-09-24,2017,3200,3,123412
2017-09-24,2017,3200,3,123412
2017-09-24,2017,3200,3,123412
2017-09-24,2017,3200,3,123412
2017-09-24,2017,3150,3,123412
2017-09-23,2017,3016,3,123412
2017-09-23,2017,3205,3,123412
2017-09-22,2017,3152,3,123412
2017-09-21,2017,3175,3,123412
